text,label_number,label_name
Шукаю тур на тиждень в Іспанію з вильотом зі Львова.,0,Підбір туру
Чи можете підібрати туристичні пакети на популярні європейські фестивалі цього літа? ,0,Підбір туру
"Шукаю варіанти відпустки на острові, але з активним відпочинком.",0,Підбір туру
Які є варіанти бюджетних турів на Карпати?,0,Підбір туру
Шукаю відпочинок з лікувальними процедурами.,0,Підбір туру
Які є варіанти турів до Греції з екскурсіями та відпочинком на пляжі для пари у вересні?,0,Підбір туру
Хочу активний відпочинок у Таїланді з дайвінгом та екскурсіями – які пропозиції доступні?,0,Підбір туру
Які країни пропонують лікувальні тури з термальними водами та масажами?,0,Підбір туру
Шукаю романтичний тур на острови з приватними віллами та сніданками на березі моря.,0,Підбір туру
Шукаю тур на Мальдіви зі всім включено та трансфером з аеропорту для медового місяця.,0,Підбір туру
Чи є пакетні тури до Японії з авіаквитками на літо?,0,Підбір туру
Чи є організовані тури для любителів гірських велосипедів,0,Підбір туру
Хочу відпочити в горах — які напрямки доступні влітку?),0,Підбір туру
Шукаємо весільну подорож — що запропонуєте?,0,Підбір туру
Які зараз популярні недорогі тури до Азії ?,0,Підбір туру
Новорічні тури з яскравими враженнями — куди варто летіти?),0,Підбір туру
Чи плануються якісь бюджетні тури приблизно через місяць?,0,Підбір туру
Які країни можете запропонувати для спокійного відпочинку?,0,Підбір туру
Де в Європі Україні можна орендувати байдарки влітку?,0,Підбір туру
Як обрати тур-сюрприз на день народження дружини?,0,Підбір туру
Куди поїхати від спеки зараз з гарячими турами?),0,Підбір туру
"Шукаємо тур для сім'ї з дитиною, де хороші пляжі з дитячим сервісом?",0,Підбір туру
Чи є готові тури в Домінікану з Києва з перельотами?,0,Підбір туру
Чи є тури на Новорічні свята у  Лапландію з зустріччю з Дідом Морозом?,0,Підбір туру
Які автобусні тури по Європі є найбюджетнішими?🚍,0,Підбір туру
Тихий відпочинок без натовпу — які країни обирати?,0,Підбір туру
Гарячі пропозиції на 8 Березня з дитиною 🤱,0,Підбір туру
Які є варіанти відпочинку в Туреччині з вильотом з Одеси?,0,Підбір туру
Найромантичніший тур на вихідні для пари — терміновий запит!,0,Підбір туру
Економні тури до Болгарії з перельотами та проживанням.,0,Підбір туру
яка вартість на 5 днів цього туру?,1,Ціни на подорожі
чи можна вкластись у 500$? 💰,1,Ціни на подорожі
Який тур дешевше до Португалії?,1,Ціни на подорожі
Скільки коштує тур з повним харчуванням до Хорватії?,1,Ціни на подорожі
Яка кінцева ціна туру з усіма податками?,1,Ціни на подорожі
Чи відрізняється ціна туру в будні і вихідні дні?,1,Ціни на подорожі
Яка орієнтовна ціна туру для пенсіонерів?,1,Ціни на подорожі
Скільки коштує тур на Мальту з харчуванням?,1,Ціни на подорожі
Яка середня ціна туру до Таїланду в листопаді?,1,Ціни на подорожі
Тобто ціна туру сильно залежить від якості готеля,1,Ціни на подорожі
вартість залежить від часу бронювання?,1,Ціни на подорожі
Скільки коштує дитячий квиток у сімейному турі?,1,Ціни на подорожі
ціни на тури в Іспанію та Португалію?,1,Ціни на подорожі
Чи варто переплачувати за тур преміум-класу?,1,Ціни на подорожі
Як змінюється ціна залежно від місця в літаку?,1,Ціни на подорожі
Яка ціна при бронюванні безпосередньо перед вильотом?,1,Ціни на подорожі
Чи впливає вибір авіакомпанії на загальну ціну?,1,Ціни на подорожі
Скільки реально коштує відпочинок на Мальдівах у вересні?,1,Ціни на подорожі
"Підкажіть, будь ласка, ціни на європейські тури з автобусними екскурсіями",1,Ціни на подорожі
"Чи є шанс знайти тур в Єгипет за 500$ на людину, але щоб не дуже далеко від моря?",1,Ціни на подорожі
підкажіть чесні ціни на Мальдіви - чи правда що можна знайти за 2к якщо брати останні хвилини?,1,Ціни на подорожі
Цікавить точна вартість туру в ОАЕ на 10 днів?,1,Ціни на подорожі
Скільки коштує додати додаткову ніч у готелі?,1,Ціни на подорожі
Що саме входить у заявлену вартість туру?,1,Ціни на подорожі
2000$ це вартість з однієї людини?,1,Ціни на подорожі
Яка середня ціна туру на Мальдіви на 10 днів?,1,Ціни на подорожі
"ціна знижується під вечір, можливо є знижки? 🥹",1,Ціни на подорожі
"Будь ласка, підкажіть, яка наразі вартість квитка на тур до Франції? ",1,Ціни на подорожі
"вказана сума — це загальна вартість усього туру, включно з усіма послугами?",1,Ціни на подорожі
це вже остаточна ціна з урахуванням усіх можливих знижок та акційних пропозицій? 🥹,1,Ціни на подорожі
Які у вас умови бронювання турів?,2,Бронювання
Чи потрібна передоплата для бронювання?,2,Бронювання
Який крайній термін бронювання туру?,2,Бронювання
Чи можна забронювати тур без зазначення точних дат?,2,Бронювання
чи можна просто 'застерегти' тур на пару днів без передоплати?,2,Бронювання
"Ой, а якщо я забронюю, а ціна впаде – ви перерахуєте чи як це працює?",2,Бронювання
"Дівчина на телефоні сказала, що бронь підтверджена, а на пошту нічого не прийшло – це нормально?",2,Бронювання
"Можна якось іменувати бронювання не на мене, а на сестру?",2,Бронювання
"Написано 'бронь діє 24 години', але я в від'їзді - можна якось продлити без оплати?",2,Бронювання
Як підтверджується бронювання готелю?,2,Бронювання
ви ж підтвердили бронювання до Мадриду на літо?,2,Бронювання
Чи можна забронювати тур за телефоном?,2,Бронювання
"Повні  умови бронювання, де я можу знайти?",2,Бронювання
Чи можна передати бронювання іншій особі?,2,Бронювання
Як перевірити статус оплати за бронювання?,2,Бронювання
Чи можна забронювати тур із можливістю повернення грошей?,2,Бронювання
Як отримати рахунок для бухгалтерії за бронювання?,2,Бронювання
Чи надсилають підтвердження бронювання на пошту?,2,Бронювання
Які умови скасування бронювання?,2,Бронювання
Що відбувається з передплатою за бронювання у разі відмови?,2,Бронювання
Як довго діє бронювання?,2,Бронювання
Чи можна забронювати тур через мобільний додаток?,2,Бронювання
"не можу знайти, як перевірити статус броні(",2,Бронювання
"Якщо я зараз забронюю, а через тиждень знайду дешевше",2,Бронювання
"де саме я можу знайти документ або підтвердження, що стосується мого бронювання?",2,Бронювання
чи дійсна наразі моя бронь на тур до Хургади,2,Бронювання
"хочу повторно забронювати тур до Барселони, який раніше вже відвідував",2,Бронювання
від якої кількості днів можна бронювати поїздку?,2,Бронювання
"домовились, бронь до 23 липня",2,Бронювання
"я вже не хочу їхати у тур, скасуйте бронювання",2,Бронювання
Чи включені послуги гіда у вартість туру?,3,Гіди і супровід
Чи є можливість зв'язатися з гідом до початку туру?,3,Гіди і супровід
Чи володіють гіди іноземними мовами на достатньому рівні?,3,Гіди і супровід
Запропонований гід знає турецьку на високому рівні?,3,Гіди і супровід
"Можна попросити гіда змінити маршрут, якщо ми вже бачили якусь пам'ятку?",3,Гіди і супровід
Гід буде нам допомагати з місцевим транспортом?,3,Гіди і супровід
Можна замовити окремого гіда тільки для нашої сім'ї?,3,Гіди і супровід
А гід буде нам щось розповідати під час переїздів між містами чи тільки на місцях?,3,Гіди і супровід
"У гіда буде якийсь знак, щоб його легко було знайти в натовпі?",3,Гіди і супровід
яку кількість часу ми будемо проводити з гідом?,3,Гіди і супровід
Чи є можливість самостійно обрати конкретного гіда для туру згідно з моїми уподобаннями?,3,Гіди і супровід
можно контакт гіда перед туром для уточнення певної інформації?,3,Гіди і супровід
"Чи можу я заздалегідь ознайомитися з детальною програмою, яку планує проводити гід під час екскурсії?",3,Гіди і супровід
Чи володіє гід іспанською мовою на достатньому рівні для проведення повноцінної екскурсії?,3,Гіди і супровід
чи може гід супроводжувати мене постійно?,3,Гіди і супровід
Чи буде гід зустрічати нас в аеропорту?,3,Гіди і супровід
Чи є гід з медичною підготовкою?,3,Гіди і супровід
Чи може гід організувати спеціальні заходи під час туру?,3,Гіди і супровід
Чи надаєте гіда для групових поїздок?,3,Гіди і супровід
Чи можна замовити гіда для дитячої екскурсії?,3,Гіди і супровід
"Що робити, якщо ми загубимося під час екскурсії або не зможемо знайти нашого гіда?",3,Гіди і супровід
"Чи надає гід екскурсійні послуги щодня, включаючи вихідні та святкові дні?",3,Гіди і супровід
"Чи може гід організувати або провести екскурсію у вечірній чи нічний час, якщо ми забажаємо?",3,Гіди і супровід
Гід супроводжує лише в екскурсіях чи протягом усього туру?,3,Гіди і супровід
Скільки осіб буде в групі з одним гідом?,3,Гіди і супровід
Яка приблизна тривалість супроводу гіда під час туру?,3,Гіди і супровід
Які обов’язки має гід під час туру?,3,Гіди і супровід
якщо я захочу змінити гіда на іншого?,3,Гіди і супровід
чи можно найняти гіда по Діснейленду?,3,Гіди і супровід
хочу окремий супровід гіда на цілий тиждень ,3,Гіди і супровід
"Якщо я зміню дату, а потім знову поверну стару дату – це буде вважатись однією зміною чи двома?",4,Зміна дат туру
"Якщо я перенесу дату на пізніше, чи збережеться моя знижка за раннє бронювання?",4,Зміна дат туру
А якщо я перенесу тур на іншу дату - чи будуть ті самі екскурсії? ,4,Зміна дат туру
"Чула, що якщо переносити за 2 місяці – то без штрафу",4,Зміна дат туру
"Можна перенести тільки мій квиток, а чоловік нехай летить як планувалось?",4,Зміна дат туру
"Які умови зміни дат, хочу дізнатися завчасно?",4,Зміна дат туру
"не кажіть, що я не можу змінити дату без судової справи😩",4,Зміна дат туру
"треба змінювати дату подорожі,  враховуючи можливі штрафні санкції ?",4,Зміна дат туру
Чи впливає зміна дати на вартість туру?,4,Зміна дат туру
Чи можна змінити дату у випадку хвороби?,4,Зміна дат туру
Як відбувається підтвердження зміни дати?,4,Зміна дат туру
Чи потрібна доплата за перенесення дати туру?,4,Зміна дат туру
"Якщо тур груповий, для зміни дати потрібна згодна всіх?",4,Зміна дат туру
я хочу перенести тур на іншу дату десь на серпень📅,4,Зміна дат туру
на гарячих пропозиціях не можна змінити дату?,4,Зміна дат туру
можна змінити дати онлайн у додатку без зв'язку з оператором?,4,Зміна дат туру
можна змінити дати у випадку форс-мажору?,4,Зміна дат туру
що? я не змінювала дату туру на червень!,4,Зміна дат туру
"жах, а що робити, змінити дату не можна?",4,Зміна дат туру
"ми посварились, змінить дату, будь ласка 📅",4,Зміна дат туру
у мене температура - це поважна причина для зміни дати! 🌡📅,4,Зміна дат туру
Чи можна змінити дати після початку туру?,4,Зміна дат туру
як змінити дату поїздки у додатку?,4,Зміна дат туру
я хочу подати запит на зміну дати на вересень,4,Зміна дат туру
Дату можна змінити самостійно чи потрібно звертатись?,4,Зміна дат туру
Скільки разів можна змінювати дату без штрафу за договором?,4,Зміна дат туру
"Коли останній день, щоб можно було змінити дату без штрафу?",4,Зміна дат туру
Хочу змінити дату туру через обставини на роботі,4,Зміна дат туру
Чи потрібно підтвердження від усіх учасників туру для зміни дат?,4,Зміна дат туру
терміново хочу перенести дату туру,4,Зміна дат туру
"смог, пробки й сміття на кожному кроці - привіт, Індія! 1/5",5,Відгуки про напрямки 
"Фото в інсті – це 5% реальності. 95% – це черги. Дякую, 🇫🇷!",5,Відгуки про напрямки 
Неочікувано гарне море і спокійна атмосфера — рекомендую Хорватію.,5,Відгуки про напрямки 
"Мальта — маленький острів з великою кількістю пам’яток, ідеально для короткого туру.",5,Відгуки про напрямки 
"Відпочинок у Фінляндії спокійний і затишний, чудова природа і сауни.",5,Відгуки про напрямки 
"Культура і гостинність, які я зустрів, вразили мене під час поїздки до Японії.",5,Відгуки про напрямки 
Любителі гірськолижного спорту і природи знайдуть справжній рай у Швейцарських Альпах.,5,Відгуки про напрямки 
"так багато ворів як у Барселоні не має ніде, треба берегти свої речі",5,Відгуки про напрямки 
якщо не можете обрати між морем та горами - Хорватія для вас,5,Відгуки про напрямки 
"Місто, яке ніколи не спить - це саме про Неаполь. Скажи - ні спокою.",5,Відгуки про напрямки 
Хочете адреналіну? Нова Зеландія: стрибки з банджі,5,Відгуки про напрямки 
Якщо Бразилія - то відразу треба на карнавал до цих колоритних людей,5,Відгуки про напрямки 
"Багато грошей треба для цієї Швейцарії, більше туди не повернуся",5,Відгуки про напрямки 
"Гори, озера, океани - то до Канади. 10/10 ",5,Відгуки про напрямки 
Ісландія - це інша планета! Неймовірні пейзажі.,5,Відгуки про напрямки 
"Львів – це не просто місто, це кава, шоколад і атмосфера",5,Відгуки про напрямки 
"Сейшельські острови – там, де на пляжі більше гігантських черепах, ніж туристів!",5,Відгуки про напрямки 
"Повернулась з Дубаю і... це не просто розкіш, це інша планета! ",5,Відгуки про напрямки 
"Балі – місце, де райські пляжі зустрічаються з джунглями! ",5,Відгуки про напрямки 
Тільки повернулась з Мальдівів – це космос! 💛,5,Відгуки про напрямки 
"Пляжі карибського басейну - моя слабкість, раджу всім",5,Відгуки про напрямки 
"Найкращий пляж - це ГРЕЙС-БЕЙ, кожен має відпочити там.",5,Відгуки про напрямки 
"Не забудьте відчути справжній Єгипет, під час екскурсії на квадроциклах та багі",5,Відгуки про напрямки 
"У Празі надзвичайно чарівні вулички, які зберегли середньовічну атмосферу, а також безліч історичних пам’яток",5,Відгуки про напрямки 
"У Греції неймовірно вражаюча архітектура — від стародавніх храмів до білих будиночків на схилах островів,",5,Відгуки про напрямки 
"а я чула відгук, що в Туреччині зовсім не спекотно",5,Відгуки про напрямки 
Кіпр — чудове місце для сімейного відпочинку.,5,Відгуки про напрямки 
Польща дуже колоритна і недорога.,5,Відгуки про напрямки 
Хінкалі у 🇬🇪 то любовв 💛 Всім раджу,5,Відгуки про напрямки 
Грузія дивує гостинністю і смачною кухнею.,5,Відгуки про напрямки 